area_code	fips_state	fips_county	area_title	period	labor_force	employed	unemployed	unemployed_rate	fips	fips_ssamatab1
CN0600100000000	06	001	Alameda County, CA	2016-01-01	825565.0	789959.0	35606.0	4.3	06001	06001
CN0600300000000	06	003	Alpine County, CA	2016-01-01	672.0	636.0	36.0	5.4	06003	06003
CN0600500000000	06	005	Amador County, CA	2016-01-01	14174.0	13237.0	937.0	6.6	06005	06005
CN0600700000000	06	007	Butte County, CA	2016-01-01	101597.0	94191.0	7406.0	7.3	06007	06007
CN0600900000000	06	009	Calaveras County, CA	2016-01-01	20268.0	18985.0	1283.0	6.3	06009	06009
CN0601100000000	06	011	Colusa County, CA	2016-01-01	10897.0	8462.0	2435.0	22.3	06011	06011
CN0601300000000	06	013	Contra Costa County, CA	2016-01-01	549909.0	524952.0	24957.0	4.5	06013	06013
CN0601500000000	06	015	Del Norte County, CA	2016-01-01	9888.0	9024.0	864.0	8.7	06015	06015
CN0601700000000	06	017	El Dorado County, CA	2016-01-01	89195.0	84353.0	4842.0	5.4	06017	06017
CN0601900000000	06	019	Fresno County, CA	2016-01-01	442359.0	395908.0	46451.0	10.5	06019	06019
CN0602100000000	06	021	Glenn County, CA	2016-01-01	13339.0	12083.0	1256.0	9.4	06021	06021
CN0602300000000	06	023	Humboldt County, CA	2016-01-01	62018.0	58537.0	3481.0	5.6	06023	06023
CN0602500000000	06	025	Imperial County, CA	2016-01-01	78518.0	62389.0	16129.0	20.5	06025	06025
CN0602700000000	06	027	Inyo County, CA	2016-01-01	9090.0	8536.0	554.0	6.1	06027	06027
CN0602900000000	06	029	Kern County, CA	2016-01-01	395202.0	352686.0	42516.0	10.8	06029	06029
CN0603100000000	06	031	Kings County, CA	2016-01-01	58229.0	51621.0	6608.0	11.3	06031	06031
CN0603300000000	06	033	Lake County, CA	2016-01-01	28834.0	26596.0	2238.0	7.8	06033	06033
CN0603500000000	06	035	Lassen County, CA	2016-01-01	10988.0	10075.0	913.0	8.3	06035	06035
CN0603700000000	06	037	Los Angeles County, CA	2016-01-01	4993511.0	4707021.0	286490.0	5.7	06037	06037
CN0603900000000	06	039	Madera County, CA	2016-01-01	62289.0	55963.0	6326.0	10.2	06039	06039
CN0604100000000	06	041	Marin County, CA	2016-01-01	141146.0	136580.0	4566.0	3.2	06041	06041
CN0604300000000	06	043	Mariposa County, CA	2016-01-01	7424.0	6752.0	672.0	9.1	06043	06043
CN0604500000000	06	045	Mendocino County, CA	2016-01-01	39715.0	37221.0	2494.0	6.3	06045	06045
CN0604700000000	06	047	Merced County, CA	2016-01-01	114162.0	99656.0	14506.0	12.7	06047	06047
CN0604900000000	06	049	Modoc County, CA	2016-01-01	3123.0	2801.0	322.0	10.3	06049	06049
CN0605100000000	06	051	Mono County, CA	2016-01-01	9008.0	8564.0	444.0	4.9	06051	06051
CN0605300000000	06	053	Monterey County, CA	2016-01-01	212573.0	188760.0	23813.0	11.2	06053	06053
CN0605500000000	06	055	Napa County, CA	2016-01-01	73590.0	70036.0	3554.0	4.8	06055	06055
CN0605700000000	06	057	Nevada County, CA	2016-01-01	48999.0	46498.0	2501.0	5.1	06057	06057
CN0605900000000	06	059	Orange County, CA	2016-01-01	1595024.0	1531265.0	63759.0	4.0	06059	06059
CN0606100000000	06	061	Placer County, CA	2016-01-01	178174.0	169941.0	8233.0	4.6	06061	06061
CN0606300000000	06	063	Plumas County, CA	2016-01-01	7646.0	6592.0	1054.0	13.8	06063	06063
CN0606500000000	06	065	Riverside County, CA	2016-01-01	1040990.0	979386.0	61604.0	5.9	06065	06065
CN0606700000000	06	067	Sacramento County, CA	2016-01-01	688631.0	650602.0	38029.0	5.5	06067	06067
CN0606900000000	06	069	San Benito County, CA	2016-01-01	29909.0	27549.0	2360.0	7.9	06069	06069
CN0607100000000	06	071	San Bernardino County, CA	2016-01-01	932133.0	879261.0	52872.0	5.7	06071	06071
CN0607300000000	06	073	San Diego County, CA	2016-01-01	1564039.0	1490051.0	73988.0	4.7	06073	06073
CN0607500000000	06	075	San Francisco County/city, CA	2016-01-01	552047.0	533663.0	18384.0	3.3	06075	06075
CN0607700000000	06	077	San Joaquin County, CA	2016-01-01	315863.0	287725.0	28138.0	8.9	06077	06077
CN0607900000000	06	079	San Luis Obispo County, CA	2016-01-01	142458.0	136166.0	6292.0	4.4	06079	06079
CN0608100000000	06	081	San Mateo County, CA	2016-01-01	444812.0	431328.0	13484.0	3.0	06081	06081
CN0608300000000	06	083	Santa Barbara County, CA	2016-01-01	218226.0	205681.0	12545.0	5.7	06083	06083
CN0608500000000	06	085	Santa Clara County, CA	2016-01-01	1024921.0	986573.0	38348.0	3.7	06085	06085
CN0608700000000	06	087	Santa Cruz County, CA	2016-01-01	142356.0	129592.0	12764.0	9.0	06087	06087
CN0608900000000	06	089	Shasta County, CA	2016-01-01	75063.0	69076.0	5987.0	8.0	06089	06089
CN0609100000000	06	091	Sierra County, CA	2016-01-01	1302.0	1174.0	128.0	9.8	06091	06091
CN0609300000000	06	093	Siskiyou County, CA	2016-01-01	17659.0	15603.0	2056.0	11.6	06093	06093
CN0609500000000	06	095	Solano County, CA	2016-01-01	207278.0	195428.0	11850.0	5.7	06095	06095
CN0609700000000	06	097	Sonoma County, CA	2016-01-01	259233.0	248102.0	11131.0	4.3	06097	06097
CN0609900000000	06	099	Stanislaus County, CA	2016-01-01	242116.0	219453.0	22663.0	9.4	06099	06099
CN0610100000000	06	101	Sutter County, CA	2016-01-01	44049.0	38988.0	5061.0	11.5	06101	06101
CN0610300000000	06	103	Tehama County, CA	2016-01-01	24813.0	22810.0	2003.0	8.1	06103	06103
CN0610500000000	06	105	Trinity County, CA	2016-01-01	5129.0	4672.0	457.0	8.9	06105	06105
CN0610700000000	06	107	Tulare County, CA	2016-01-01	204106.0	179045.0	25061.0	12.3	06107	06107
CN0610900000000	06	109	Tuolumne County, CA	2016-01-01	21530.0	19959.0	1571.0	7.3	06109	06109
CN0611100000000	06	111	Ventura County, CA	2016-01-01	427327.0	404527.0	22800.0	5.3	06111	06111
CN0611300000000	06	113	Yolo County, CA	2016-01-01	103980.0	97044.0	6936.0	6.7	06113	06113
CN0611500000000	06	115	Yuba County, CA	2016-01-01	28078.0	25343.0	2735.0	9.7	06115	06115
CN0600100000000	06	001	Alameda County, CA	2016-02-01	827551.0	792314.0	35237.0	4.3	06001	06001
CN0600300000000	06	003	Alpine County, CA	2016-02-01	670.0	635.0	35.0	5.2	06003	06003
CN0600500000000	06	005	Amador County, CA	2016-02-01	14357.0	13436.0	921.0	6.4	06005	06005
CN0600700000000	06	007	Butte County, CA	2016-02-01	101649.0	94388.0	7261.0	7.1	06007	06007
CN0600900000000	06	009	Calaveras County, CA	2016-02-01	20296.0	19066.0	1230.0	6.1	06009	06009
CN0601100000000	06	011	Colusa County, CA	2016-02-01	11060.0	8697.0	2363.0	21.4	06011	06011
CN0601300000000	06	013	Contra Costa County, CA	2016-02-01	551117.0	526564.0	24553.0	4.5	06013	06013
CN0601500000000	06	015	Del Norte County, CA	2016-02-01	9899.0	9049.0	850.0	8.6	06015	06015
CN0601700000000	06	017	El Dorado County, CA	2016-02-01	89329.0	84589.0	4740.0	5.3	06017	06017
CN0601900000000	06	019	Fresno County, CA	2016-02-01	444027.0	397665.0	46362.0	10.4	06019	06019
CN0602100000000	06	021	Glenn County, CA	2016-02-01	13366.0	12163.0	1203.0	9.0	06021	06021
CN0602300000000	06	023	Humboldt County, CA	2016-02-01	62411.0	59079.0	3332.0	5.3	06023	06023
CN0602500000000	06	025	Imperial County, CA	2016-02-01	77828.0	62409.0	15419.0	19.8	06025	06025
CN0602700000000	06	027	Inyo County, CA	2016-02-01	9094.0	8554.0	540.0	5.9	06027	06027
CN0602900000000	06	029	Kern County, CA	2016-02-01	395140.0	351840.0	43300.0	11.0	06029	06029
CN0603100000000	06	031	Kings County, CA	2016-02-01	58405.0	51789.0	6616.0	11.3	06031	06031
