dataset,fname,label,sublabel
b,set_b/extrastole__127_1306764300147_C2.wav,extrastole,
b,set_b/extrastole__128_1306344005749_A.wav,extrastole,
b,set_b/extrastole__130_1306347376079_D.wav,extrastole,
b,set_b/extrastole__134_1306428161797_C1.wav,extrastole,
b,set_b/extrastole__138_1306762146980_B.wav,extrastole,
b,set_b/extrastole__140_1306519735121_D.wav,extrastole,
b,set_b/extrastole__144_1306522408528_B.wav,extrastole,
b,set_b/extrastole__144_1306522408528_B1.wav,extrastole,
b,set_b/extrastole__148_1306768801551_B.wav,extrastole,
b,set_b/extrastole__151_1306779785624_B.wav,extrastole,
b,set_b/extrastole__153_1306848820671_C.wav,extrastole,
b,set_b/extrastole__154_1306935608852_D2.wav,extrastole,
b,set_b/extrastole__163_1307104470471_C.wav,extrastole,
b,set_b/extrastole__179_1307990076841_C.wav,extrastole,
b,set_b/extrastole__184_1308073010307_A.wav,extrastole,
b,set_b/extrastole__190_1308076920011_C.wav,extrastole,
b,set_b/extrastole__191_1308077299430_A.wav,extrastole,
b,set_b/extrastole__194_1308139824187_B.wav,extrastole,
b,set_b/extrastole__198_1308141739338_B.wav,extrastole,
b,set_b/extrastole__198_1308141739338_B1.wav,extrastole,
b,set_b/extrastole__202_1308145175747_C1.wav,extrastole,
b,set_b/extrastole__202_1308145175747_C2.wav,extrastole,
b,set_b/extrastole__207_1308159792607_B.wav,extrastole,
b,set_b/extrastole__207_1308159792607_B1.wav,extrastole,
b,set_b/extrastole__209_1308162216750_D.wav,extrastole,
b,set_b/extrastole__210_1308162935880_C.wav,extrastole,
b,set_b/extrastole__213_1308245263936_D.wav,extrastole,
b,set_b/extrastole__215_1308245664733_B.wav,extrastole,
b,set_b/extrastole__215_1308245664733_B1.wav,extrastole,
b,set_b/extrastole__216_1308245839516_A.wav,extrastole,
b,set_b/extrastole__216_1308245839516_B.wav,extrastole,
b,set_b/extrastole__220_1308250132896_B.wav,extrastole,
b,set_b/extrastole__224_1308337157445_B.wav,extrastole,
b,set_b/extrastole__229_1308594979317_B.wav,extrastole,
b,set_b/extrastole__235_1308749032454_B.wav,extrastole,
b,set_b/extrastole__237_1308750231222_A.wav,extrastole,
b,set_b/extrastole__237_1308750231222_C.wav,extrastole,
b,set_b/extrastole__249_1309202052376_C.wav,extrastole,
b,set_b/extrastole__253_1309350256198_B.wav,extrastole,
b,set_b/extrastole__261_1309353556003_C.wav,extrastole,
b,set_b/extrastole__265_1309367698923_C.wav,extrastole,
b,set_b/extrastole__274_1311075637574_A.wav,extrastole,
b,set_b/extrastole__275_1310990852160_B.wav,extrastole,
b,set_b/extrastole__286_1311170606028_D.wav,extrastole,
b,set_b/extrastole__294_1311681084248_C.wav,extrastole,
b,set_b/extrastole__298_1311685888900_C.wav,extrastole,
b,set_b/murmur__112_1306243000964_A.wav,murmur,
b,set_b/murmur__112_1306243000964_B.wav,murmur,
b,set_b/murmur__112_1306243000964_D.wav,murmur,
b,set_b/murmur__116_1306258689913_A.wav,murmur,
b,set_b/murmur__116_1306258689913_C.wav,murmur,
b,set_b/murmur__116_1306258689913_D.wav,murmur,
b,set_b/murmur__122_1306325762831_C.wav,murmur,
b,set_b/murmur__122_1306325762831_D.wav,murmur,
b,set_b/murmur__156_1306936373241_B.wav,murmur,
b,set_b/murmur__160_1307100683334_A.wav,murmur,
